basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4509734,ca.proc.d.2012-02-09.2446.0,2012-02-09,4ac38ab4-c480-4dde-8f12-a80ff2b4f215,185,"Mr. Pat Martin (Winnipeg Centre, NDP)",,Routine Proceedings,Committees of the House,Government Operations and Estimates,"Mr. Speaker, I have the honour to present, in both official languages, the fourth report of the Standing Committee on Government Operations and Estimates in relation to its study on the certificate of nomination of Anne-Marie Robinson to the position of the President of the Public Service Commission.",New Democratic Party,Winnipeg Centre,Pat Martin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=4ac38ab4-c480-4dde-8f12-a80ff2b4f215&Language=E&Section=ALL
4509735,ca.proc.d.2012-02-09.2446.1,2012-02-09,4ac38ab4-c480-4dde-8f12-a80ff2b4f215,185,"Mr. Pat Martin (Winnipeg Centre, NDP)",,Routine Proceedings,Pest Control Products Act,," moved for leave to introduce Bill C-390, An Act to amend the Pest Control Products Act (prohibition of the use of chemical pesticides for certain purposes).
Mr. Speaker, I thank my seconder for the introduction of this important bill. 
The bill seeks to put a moratorium on the use of chemical pesticides in the home, garden and recreational facilities, such as parks and golf courses, until the scientific and medical evidence showing that such use is safe has been presented to Parliament and confirmed in a report prepared by a parliamentary committee.
The bill seeks to put the reverse onus on the chemical companies for them to prove the product is safe, instead of putting the onus on the individual to try to prove that the product is dangerous, an impossible test in many areas.
We believe the bill has broad support across the country and I would seek the co-operation of my colleagues in the House of Commons for the passage of this bill at second reading.
 (Motions deemed adopted, bill read the first time and printed) ",New Democratic Party,Winnipeg Centre,Pat Martin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=4ac38ab4-c480-4dde-8f12-a80ff2b4f215&Language=E&Section=ALL
4509736,ca.proc.d.2012-02-09.2446.2,2012-02-09,4ac38ab4-c480-4dde-8f12-a80ff2b4f215,185,"Mr. Pat Martin (Winnipeg Centre, NDP)",,Routine Proceedings,Currency Act,," moved for leave to introduce Bill C-391, An Act to amend the Currency Act and the Royal Canadian Mint Act (calling in of the cent).
Mr. Speaker, it is my pleasure to re-introduce this bill and I, again, thank my seconder. 
There are over 30 billion pennies in circulation in Canada today, many of which are underneath my bed in an old cookie jar. I believe everyone here has a similar jar underneath their bed.
In spite of this silliness, one billion pennies are produced by the Royal Canadian Mint every year. Each penny costs more to produce than it is worth and nobody wants them. We are spending a fortune producing something nobody wants and nobody needs, and that provides no functional service to the public anymore.
If any evidence is needed, it is the freebie jar at every cash register that says “Take one or leave one”. We do not see jars full of loonies there because loonies are worth something and pennies are not.
I am urging the Minister of Finance, perhaps in the budget or by the introduction of this bill, to eliminate the penny. I ask that he do us all a favour. I hope this receives broad support from my colleagues.
 (Motions deemed adopted, bill read the first time and printed) ",New Democratic Party,Winnipeg Centre,Pat Martin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=4ac38ab4-c480-4dde-8f12-a80ff2b4f215&Language=E&Section=ALL
4509737,ca.proc.d.2012-02-09.2446.3,2012-02-09,4ac38ab4-c480-4dde-8f12-a80ff2b4f215,185,"Mr. Pat Martin (Winnipeg Centre, NDP)",,Routine Proceedings,"Labour Market Training, Apprenticeship and Certification Act",," moved for leave to introduce Bill C-392, An Act to provide for the establishment of national standards for labour market training, apprenticeship and certification.
Mr. Speaker, once again, I thank my nominator for his support of this bill. 
As a certified journeyman carpenter as my post-secondary education, I feel strongly that the apprenticeship system could be enhanced and would benefit from the introduction of such a bill that would provide national standards for each apprenticable trade. The bill also would encourage more trades to become certified apprenticable trades. We believe it would increase the labour mobility of working people in the skilled trades and would address some of the serious skills shortages we have going forward in the coming years.
We are hoping the Minister of Human Resources and Skills Development would adopt such a bill in recognition of the need and demand for more skilled trades and certified apprenticeships in this country.
I ask for and seek the support of my colleagues on this important initiative.
 (Motions deemed adopted, bill read the first time and printed) ",New Democratic Party,Winnipeg Centre,Pat Martin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=4ac38ab4-c480-4dde-8f12-a80ff2b4f215&Language=E&Section=ALL
4509738,ca.proc.d.2012-02-09.2446.4,2012-02-09,b41c3b7e-c64f-4415-9f58-79d7462e5d8e,146,"Mr. Peter Julian (Burnaby—New Westminster, NDP)",,Routine Proceedings,Railway Noise and Vibration Control Act,," moved for leave to introduce Bill C-393, An Act to amend the Canada Transportation Act (railway noise and vibration control).
Mr. Speaker, I thank my seconder from Laval—Les Îles who is one of the new bright young lights in the NDP caucus. 
In many parts of the country, we have rail yards in urban areas where there are excessive, noisy activities in the evening. We are talking about idling of diesel engines, shunting and extended whistle blowing. This interrupts the sleep of constituents in my riding and, of course, Canadians right across the country. 
The amendments to Bill C-11 simply have not dealt with the problem. Mediation has not worked. We have many examples where mediation has not been respected by the railway companies. 
 I am bringing forward this legislation to give very clear guidelines about what rail companies can do in the middle of the night in urban areas. They cannot do the shunting, idling and excessive whistle blowing that interrupts the sleep of so many Canadians.
 I hope to get all party support on a problem that many urban areas experience. I am sure all members would agree that every Canadian has the right to a good night's sleep.
 (Motions deemed adopted, bill read the first time and printed) ",New Democratic Party,Burnaby--New Westminster,Peter Julian,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=b41c3b7e-c64f-4415-9f58-79d7462e5d8e&Language=E&Section=ALL
4509739,ca.proc.d.2012-02-09.2446.5,2012-02-09,aa58e8f5-4a46-4c79-8e97-b9ebe28c9d9a,295,"Hon. Peter Van Loan (Leader of the Government in the House of Commons, CPC)",,Routine Proceedings,Railway Noise and Vibration Control Act,,"Mr. Speaker, I have been making considerable efforts to invite other parties to arrive at workable approaches to dealing with bills before the House. In fact, I have asked them on specifically 10 bills to agree to work plans. I am particularly optimistic on one bill and that is Bill S-5, because speakers from all parties have indicated that they are willing to move forward quickly. 
Therefore, based on those speeches, we have proposed the following work plan in this motion, for which I hope there will be unanimous consent. I move: That, notwithstanding any Standing Order or usual practice of the House, Bill S-5, An Act to amend the law governing financial institutions and to provide for related and consequential matters, shall be disposed of as follows: The bill shall be deemed read the second time and referred to the Standing Committee on Finance; if the bill has not been reported back to the House by Wednesday, March 28, 2012, during routine proceedings, it shall be deemed reported back without amendment and when the order for consideration of report stage of the bill is called, the bill shall be deemed concurred in at report stage without amendment and a motion for third reading may be made immediately and not more than one sitting day shall be allotted to the third reading stage of the bill provided that the motion for third reading shall not be subject to amendment and that at the end of government orders on that day, when no further member rises to speak, the bill shall be deemed read the third time and passed.
This would allow ample time for study at committee.",Conservative,York--Simcoe,Peter Van Loan,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=aa58e8f5-4a46-4c79-8e97-b9ebe28c9d9a&Language=E&Section=ALL
4509740,ca.proc.d.2012-02-09.2446.6,2012-02-09,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Routine Proceedings,Railway Noise and Vibration Control Act,,Does the hon. House leader have the unanimous consent of the House to propose this motion?,Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4509741,ca.proc.d.2012-02-09.2446.7,2012-02-09,,,,intervention,Routine Proceedings,Railway Noise and Vibration Control Act,," Agreed.
 No.",,,Some hon. members,
4509742,ca.proc.d.2012-02-09.2446.8,2012-02-09,bb27e38b-4887-48e1-b182-ba18b39d411b,46,"Mr. Gordon Brown (Leeds—Grenville, CPC)",,Routine Proceedings,Petitions,The Environment,"Mr. Speaker, I am happy to rise today to present a petition on behalf of the constituents in my riding of Leeds—Grenville that calls on the government to sign and implement a binding agreement to take the place of the Kyoto agreement.",Conservative,Leeds--Grenville,Gord Brown,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=bb27e38b-4887-48e1-b182-ba18b39d411b&Language=E&Section=ALL
4509743,ca.proc.d.2012-02-09.2446.9,2012-02-09,d89e2700-537a-48d1-96f2-c55ef4f7caf1,400,"Mr. Alex Atamanenko (British Columbia Southern Interior, NDP)",,Routine Proceedings,Petitions,Health of Animals Act,"Mr. Speaker, I am pleased to present three petitions today. The first one is in support of my current Bill C-322, which states that horses are ordinarily kept and treated as sport and companion animals, that they are not raised primarily as food-producing animals and that they are commonly administered drugs that are strictly prohibited from being used in the food chain. 
The petitioners, therefore, call upon the House of Commons to adopt legislation based on my previous bill in the last Parliament, Bill C-544, to prohibit the importation and exportation of horses for slaughter for human consumption, as well as horse meat products for human consumption. It is signed by over 200 citizens from the southern Ontario region.",New Democratic Party,British Columbia Southern Interior,Alex Atamanenko,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d89e2700-537a-48d1-96f2-c55ef4f7caf1&Language=E&Section=ALL
