basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
3928271,ca.proc.d.1992-12-11.1,1992-12-11,,,,topic,PRIVILEGE,,,,,,,
3928272,ca.proc.d.1992-12-11.1.1,1992-12-11,,,,subtopic,PRIVILEGE,MEMBER FOR LOTBINIERE,,,,,,
3928273,ca.proc.d.1992-12-11.1.1.1,1992-12-11,65f64341-6e0c-46ae-8714-7a9e85e191fa,ca.m.4051,Mr. Nelson A. Riis (Kamloops):,N.D.P. House Leader,PRIVILEGE,MEMBER FOR LOTBINIERE,,"Mr. Speaker, I rise on a question of privilege.
The news last night and this morning indicated that the hon. member for Lotbiniere has been convicted of misuse of funds of the House of Commons. Members of the House obviously have refrained from making any comments until the final resolution had taken place.
We have learned of the conviction and now the House must decide. Normally the member would have resigned and maybe that has already taken place. Perhaps I could seek some information from the government side.
It is the tradition of this House always to discipline its members in addition to the discipline meted out by the
courts.
Mr. Speaker, I would ask that you give some guidance regarding the consideration of taking action on this case. If there is a particular course of action to be taken I would be prepared of course to move the appropriate motion.

",New Democratic Party,,Nelson Andrew Riis,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=65f64341-6e0c-46ae-8714-7a9e85e191fa&Language=E&Section=ALL
3928274,ca.proc.d.1992-12-11.1.1.2,1992-12-11,a247d1d3-3b05-46ac-b9f3-6622ab25d695,ca.m.3905,Right Hon. Joe Clark (President of the Privy Council and Minister Responsible for Constitutional Affairs):,Minister responsible for Constitutional Affairs; President of the Privy Council,PRIVILEGE,MEMBER FOR LOTBINIERE,,"Mr. Speaker, the member for Kamloops and I have roughly an equivalent formation in the law and he would know as I do that this is a matter which may still be before the courts.
He made reference to the wisdom of the House in letting court processes be carried through to their conclusion. It would seem to me, Mr. Speaker, for your
guidance, that was a prudent course at the time. In the circumstances, it remains a prudent course.
It would be well for all of us to respect the difference between the political functions that occur here which always require some restraint and the functions of the courts.

",Progressive Conservative,,Charles Joseph Clark,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a247d1d3-3b05-46ac-b9f3-6622ab25d695&Language=E&Section=ALL
3928275,ca.proc.d.1992-12-11.1.1.3,1992-12-11,a821d280-9b40-44e5-bae2-c039ce14a4c8,ca.m.5795,Mr. David Dingwall (Cape Breton-East Richmond):,Official Opposition House Leader; Liberal Party House Leader,PRIVILEGE,MEMBER FOR LOTBINIERE,,"Mr. Speaker, my colleague and friend from the New Democratic Party has made an intervention. I wish the record to show that in the adjudication announced by the courts the sentencing will not take place until the new year.
There may be appeals. There could be questions of law which would thereafter be examined in a higher court. Mr. Speaker, I am not attempting to advise you on all the aspects of law, but I do not believe at this time it would be the most appropriate thing to do in view of what the courts have before them.
I would suggest that you give careful consideration to the interventions made by the Minister Responsible for Constitutional Affairs and me.

",Liberal,,David Charles Dingwall,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a821d280-9b40-44e5-bae2-c039ce14a4c8&Language=E&Section=ALL
3928276,ca.proc.d.1992-12-11.1.1.4,1992-12-11,65f64341-6e0c-46ae-8714-7a9e85e191fa,ca.m.4051,Mr. Riis:,N.D.P. House Leader,PRIVILEGE,MEMBER FOR LOTBINIERE,,"Mr. Speaker, I want to make it clear to my hon. friends this was not intended to mean that we should act in haste.
This was the first opportunity we have had since learning the news. I felt that we should at least seek some clarification as to what the course may be.
Having heard these interventions in terms of the recognition of the right of appeal, we await some advice from you, Mr. Speaker.

",New Democratic Party,,Nelson Andrew Riis,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=65f64341-6e0c-46ae-8714-7a9e85e191fa&Language=E&Section=ALL
3928277,ca.proc.d.1992-12-11.1.1.5,1992-12-11,3c8fa1d3-f8ff-4496-b1c9-c1a439a5520e,ca.m.5163,Mr. Speaker:,Speaker pro tempore,PRIVILEGE,MEMBER FOR LOTBINIERE,,"The hon. member for Kamloops has raised a matter which of course is of importance to this House. The right hon. minister has responded on the government side and the hon. member for Cape Breton-East Richmond on behalf of Her Majesty's Loyal Opposition.
The matter raised is the announcement of the conviction of a member of Parliament for certain offences.

December 11, 1992
Government Orders
There is a convention which I expect would be followed. It is that the court will inform the Chair officially of what has transpired. I do not anticipate receiving that this morning or maybe not even for some days.
The other matter referred to is the question of an appeal. I am not in a position, nor I suppose are hon. colleagues, to know whether an appeal would be taken. I think we should look carefully at that.
Again, we do not know what is likely to transpire at the sentencing or what arguments may be used by the defence at that time, all of which would affect whatever action this place might ultimately take.
We had a matter like this some years ago. Hon. members will remember that I took the matter under advisement to consider my position and to consider what was appropriate under the circumstances. As it turned out, the matter was resolved without the necessity of the Chair having to make any ruling at all.
However, the hon. member for Kamloops has, as he said, brought this matter to the attention of the House at the first possible opportunity. If I understood him correctly, he is not suggesting that the House should take any sudden action today, but when it is appropriate under all the circumstances.
I will take the application of the hon. member under advisement. As soon as I am in a position to advise the House further I shall do so.

",Progressive Conservative,,Gerald R. Ottenheimer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=3c8fa1d3-f8ff-4496-b1c9-c1a439a5520e&Language=E&Section=ALL
3928278,ca.proc.d.1992-12-11.2,1992-12-11,,,,topic,GOVERNMENT ORDERS,,,,,,,
3928279,ca.proc.d.1992-12-11.2.1,1992-12-11,,,,subtopic,GOVERNMENT ORDERS,THE CONSTITUTION,,,,,,
3928280,ca.proc.d.1992-12-11.2.1.1.1,1992-12-11,5d65749e-0cdb-4c03-88d4-f57a905acc33,ca.m.8436,Hon. Bernard Valcourt (Minister of Employment and Immigration) moved:,Minister of Employment and Immigration,GOVERNMENT ORDERS,THE CONSTITUTION,NEW BRUNSWICK CONSTITUTIONAL AMENDMENT PROPOSAL,"WHEREAS section 43 of the Constitution Act, 1982 provides that an amendment to the Constitution of Canada may be made by proclamation issued by the Governor General under the Great Seal of Canada where so authorized by resolutions of the Senate and
House of Commons and of the legislative assembly of each province to which the amendment applies;
NOW THEREFORE the House of Commons resolves that an amendment to the Constitution of Canada be authorized to be made by proclamation issued by His Excellency the Governor General under the Great Seal of Canada in accordance with the schedule hereto.

",Progressive Conservative,,Bernard Valcourt,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=5d65749e-0cdb-4c03-88d4-f57a905acc33&Language=E&Section=ALL
