basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4522572,ca.proc.d.2012-05-09.3192.0,2012-05-09,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,,,,"It being Wednesday, we will now have the singing of the national anthem led by the hon. member for Charlottetown.
[Members sang the national anthem]",Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4522573,ca.proc.d.2012-05-09.3192.1,2012-05-09,0460b90d-6936-4178-9c1b-f2de6a79ef7b,610,"Mr. Earl Dreeshen (Red Deer, CPC)",,Statements By Members,Red Deer Optimist Rebels,,"Mr. Speaker, determination, teamwork and belief in their coaches propelled the Red Deer Optimist Rebels to gold at the Canadian Men's Midget Triple A Championship on April 29 at the Telus Cup in Leduc.
Checking the score on the way to the airport, I heard the result after two periods: five to one for their Quebec opponents, but Red Deer did have a power play to start the third.
 The Rebels owned the third, burying four goals to send this exciting game into overtime. 
After a scoreless 10 minute extra period, Nick Glackin tipped a shot from Rebel captain, Brady Bakke, to cap off one of the most thrilling games in tournament history. 
Coach Doug Quinn truly instilled the pride it takes to build champions. He told his team that anything could happen, and it did. 
In this, their ninth appearance at this tournament with three previous gold medal games where they had come up just short, they truly are deserving of the title of National Champions. 
I congratulate the Red Deer Optimist Rebels, the players, their coaches and their fans.",Conservative,Red Deer,Earl Dreeshen,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0460b90d-6936-4178-9c1b-f2de6a79ef7b&Language=E&Section=ALL
4522574,ca.proc.d.2012-05-09.3192.2,2012-05-09,a710e2c4-20f9-4df8-ba6c-2dc50c03bb75,8517,"Ms. Marjolaine Boutin-Sweet (Hochelaga, NDP)",,Statements By Members,Montreal's Homeless Organizations,,"Mr. Speaker, I would like to wish my father a wonderful 80th birthday. He taught me that altruism is far better than individualism.
It was this desire to help others that led a number of organizations to establish RAPSIM, the Réseau d'aide aux personnes seules et itinérantes de Montréal, 35 years ago. These organizations, such as the well-known Maison du Père, help the least fortunate in society.
RAPSIM's work is highly respected and has been supported financially for a number of years by the homelessness partnering strategy, the HPS, which is governed by the Canada-Quebec agreement. But after 12 years, the funding has disappeared. The Minister of Human Resources  suddenly decided that she would no longer honour the agreement, which was renewed less than a year ago, or abide by the recommendations of Quebec's health network or the HPS federal-provincial committee.
Where is the respect for provincial jurisdictions? Are groups like RAPSIM being punished because they are daring enough to stand up for such subversive rights as the right to housing or to health? Is this a case of my way or the highway?",New Democratic Party,Hochelaga,Marjolaine Boutin-Sweet,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a710e2c4-20f9-4df8-ba6c-2dc50c03bb75&Language=E&Section=ALL
4522575,ca.proc.d.2012-05-09.3192.3,2012-05-09,f8a6e400-7dae-418b-b0d4-04b584e45569,8886,"Mr. Corneliu Chisu (Pickering—Scarborough East, CPC)",,Statements By Members,French Education,,"Mr. Speaker, I rise today to speak to a historic event that took place in the beautiful riding of Pickering—Scarborough East, home of Canada's first urban national park.
On April 25, Le Conseil scolaire de district catholique Centre-Sud marked the start of construction of two French Catholic elementary schools in Toronto.
We are proud that one of the schools will be built in our riding at 29 Meadowvale Road, a picturesque location beside Wanita Park and a short distance from the Rouge Park.
The school will open its doors in a modern eco-friendly building in September 2013 and will accommodate 250 students from kindergarten to grade 6.
I thank Mr. Yves Lévesque, chairman; Mr. Rejean Sirois, director of Education Le Conseil Scolaire; and, Mr. François Broileau, Ontario French Languages Services Commissioner for the excellent work they have done in improving French education in our community.
I would also like to thank all the members of the community for actively participating in and supporting this important project.",Conservative,Pickering--Scarborough East,Corneliu Chisu,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=f8a6e400-7dae-418b-b0d4-04b584e45569&Language=E&Section=ALL
4522576,ca.proc.d.2012-05-09.3192.4,2012-05-09,176fea8a-f126-4725-b119-187ba46a9413,150,"Hon. Jim Karygiannis (Scarborough—Agincourt, Lib.)",,Statements By Members,David Weatherhead,,"Mr. Speaker, on March 25, David Weatherhead, the first member of Parliament for Scarborough West passed away. 
David was first elected in 1968 and again in 1980. While fiercely partisan, David had the generosity of spirit which enabled him to extend his hand in friendship to all members of Parliament.
David arrived in this place feeling that the rules and procedures of the House and committees needed to be reformed. He felt that, in order to deal with a backlog of legislation, the rules needed to be changed. One of the suggestions he put forth was that speeches by members should be limited to 20 minutes. However, David believed that the rights of all members, especially those of opposition members, to express themselves on an issue should be respected.
On behalf of the Liberal Party, I extend our condolences to David's family and friends. I also want to thank David for his service. ",Liberal,Scarborough--Agincourt,Jim Karygiannis,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=176fea8a-f126-4725-b119-187ba46a9413&Language=E&Section=ALL
4522577,ca.proc.d.2012-05-09.3192.5,2012-05-09,e6ed9cc9-b42d-47f6-aac8-3335ed0fe78b,704,"Mr. John Carmichael (Don Valley West, CPC)",,Statements By Members,Sport,,"Mr. Speaker, minor hockey, baseball, soccer and other sports programs teach our youth the skills of sport as well as discipline, sportsmanship and teamwork. 
April marked the end of another hockey season in Don Valley West for the York Mills Hockey Club, the Don Mills Civitan Hockey League, the Leaside Hockey Association, the Toronto Leaside Girls Hockey League and the Pro Action Hockey League playing at Angela James Arena.
May marks the start of yet another season of baseball and soccer throughout the neighbourhoods of Don Valley West.
Today I want to pay tribute to all the parents, coaches and other volunteers from these and other minor sports groups in Don Valley West who give so generously of their time and energy to make possible these minor sports programs for our children.
Their hard work is worth it. On behalf of our youth and the whole community, we give a heartfelt thanks.",Conservative,Don Valley West,John Carmichael,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=e6ed9cc9-b42d-47f6-aac8-3335ed0fe78b&Language=E&Section=ALL
4522578,ca.proc.d.2012-05-09.3192.6,2012-05-09,2e8ec565-8749-41c1-ac4c-98f9d939cf16,733,"Mr. Mike Sullivan (York South—Weston, NDP)",,Statements By Members,Multiple Sclerosis,,"Mr. Speaker, the carnation is Canada's oldest and most recognized symbol of hope in the quest to end multiple sclerosis.
Many Canadians living with multiple sclerosis are mothers. Others, either children or adults, have mothers affected by this disease because women are diagnosed with MS three times as often as men. That is why every year the MS carnation campaign takes place over Mother's Day weekend. 
From May 10 to May 12, thousands of volunteers in more than 280 communities across Canada will be showing their dedication to finding a cure by selling carnations on street corners, at malls and other public spaces.
Today there is renewed hope for MS victims as new treatments are being discovered and validated. 
I know that members on both sides of the House will join me and the many families that have been touched by MS in supporting the research necessary to bring hope into reality. Let us support this effort by purchasing a carnation. Today, together, we can end MS.",New Democratic Party,York South--Weston,Mike Sullivan,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=2e8ec565-8749-41c1-ac4c-98f9d939cf16&Language=E&Section=ALL
4522579,ca.proc.d.2012-05-09.3192.7,2012-05-09,9fe262f2-84db-4d3f-aa4e-99d4228a1911,25,"Mr. Leon Benoit (Vegreville—Wainwright, CPC)",,Statements By Members,Freedom of Speech,,"Mr. Speaker, we have seen the absurd censorship on certain university campuses regarding pro-life issues. This is a serious concern and now this censorship has become an issue in some schools with the “life is wasted without Jesus” T-shirt issue and others like it.
Members should not get me wrong. I am not opposed to some censorship. Certainly grungy, smutty messages on T-shirts should be kept out of schools. However, a T-shirt that merely says “life is wasted without Jesus”?
Why the seemingly growing agenda against freedom of speech when it comes to Christian or pro-life issues?
This seems so un-Canadian, or at least it would have 30 years ago.
This ridiculous, unhealthy censorship is wrong. It is simply wrong and it must be stopped. So, who will stop it? It is up to the people.",Conservative,Vegreville--Wainwright,Leon Benoit,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=9fe262f2-84db-4d3f-aa4e-99d4228a1911&Language=E&Section=ALL
4522580,ca.proc.d.2012-05-09.3192.8,2012-05-09,a20523be-cae0-4d31-9595-e9303275e40d,583,"Mr. Peter Braid (Kitchener—Waterloo, CPC)",,Statements By Members,Multiple Sclerosis,,"Mr. Speaker, I am honoured to wear a carnation to support Multiple Sclerosis Awareness Month and to help kick off the MS carnation campaign.
This program raises funds for MS research and provides support to individuals and families touched by the disease. Those of us who have a family member with MS understand the struggle that it can present.
And while Canada, unfortunately, has one of the highest rates of MS in the world, the good news is that we have some of the best researchers. In fact, there has never been a more hopeful time for Canadians with MS.
Canadian researchers continue to learn more about the causes and develop treatments to manage the difficult symptoms.
We must all commit to ending MS within our lifetimes.",Conservative,Kitchener--Waterloo,Peter Braid,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a20523be-cae0-4d31-9595-e9303275e40d&Language=E&Section=ALL
4522581,ca.proc.d.2012-05-09.3192.9,2012-05-09,d013e8ca-fdd5-4eb4-a0e4-b5f0782a8f6d,8333,"Mr. Fin Donnelly (New Westminster—Coquitlam, NDP)",,Statements By Members,Hunger Awareness Week,,"Mr. Speaker, to mark this year's Hunger Awareness Week, Food Banks Canada has issued a challenge to parliamentarians from all parties to fast for one day so they can experience what it feels like to go hungry.
Hunger is a significant problem in our country. Each month, close to 900,000 Canadians are assisted by food banks, and 38% of those helped are children. In a country as wealthy as Canada, there is no excuse for letting our most vulnerable citizens go hungry. Hunger can be solved by addressing the root cause, which is poverty.
Two effective ways parliamentarians can address this issue is by increasing affordable housing and raising seniors' pensions.
I join with over 140 parliamentarians and staff who are going hungry today to make a point. I ask that all parliamentarians work together to eliminate hunger and poverty in our country.",New Democratic Party,New Westminster--Coquitlam,Fin Donnelly,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d013e8ca-fdd5-4eb4-a0e4-b5f0782a8f6d&Language=E&Section=ALL
