3,28
3,106
3,147
3,177
3,295
3,407
28,295
28,327
28,407
28,441
28,478
28,147
28,268
28,504
28,984
106,272
106,587
106,1214
106,147
106,494
106,778
106,1295
106,1805
147,407
177,400
177,407
177,809
177,857
177,945
177,984
295,173
295,954
295,327
295,441
295,504
407,268
407,400
407,65
407,429
407,441
407,809
407,504
407,945
15,21
15,48
15,200
15,211
15,242
15,480
15,771
15,791
15,826
15,845
21,200
21,826
21,448
21,480
21,771
21,791
48,45
48,79
48,488
48,845
200,448
200,601
200,751
200,826
200,210
200,771
200,845
211,87
211,242
211,468
211,488
211,845
211,448
242,87
242,388
242,468
242,480
242,791
242,845
480,771
480,791
771,791
771,826
791,448
826,87
826,448
826,601
826,845
845,210
845,285
845,448
845,468
845,232
20,634
634,502
634,691
634,869
634,1332
327,372
327,478
327,429
441,173
441,372
441,429
441,478
441,504
478,372
478,429
478,471
45,79
45,134
45,232
45,601
45,388
79,601
79,388
134,87
134,388
134,496
134,448
232,89
232,120
232,210
232,285
232,488
601,468
601,388
488,87
488,89
488,120
488,285
62,650
62,145
650,145
650,275
650,364
650,268
65,681
65,809
65,471
65,945
681,124
681,471
681,475
681,809
681,970
809,471
87,388
87,496
388,496
388,448
388,468
496,448
496,687
89,120
89,285
89,210
89,448
120,210
120,285
120,468
285,210
285,468
101,119
101,240
101,364
101,425
119,122
119,240
119,425
119,954
240,425
240,428
364,265
364,268
364,425
364,494
364,587
364,778
425,122
272,170
272,372
272,471
272,494
272,587
587,265
587,494
587,778
587,1805
1214,1201
1214,1295
1214,1342
1214,1412
1214,1594
1214,1805
1214,1828
122,145
122,255
124,471
124,475
124,970
471,372
471,475
471,970
475,970
145,400
145,428
145,489
145,945
400,428
400,489
400,857
400,945
400,984
428,489
428,927
428,945
428,954
489,945
945,857
945,984
945,954
151,156
151,502
151,694
151,753
151,866
151,1359
156,454
156,694
156,866
502,245
502,201
502,582
502,691
502,866
502,869
694,525
694,577
694,866
753,577
753,866
866,159
866,640
866,1359
866,1401
1359,1204
1359,1401
1359,1423
454,159
454,640
454,874
454,642
159,201
159,640
159,642
159,525
201,245
201,582
201,605
201,642
640,525
640,642
642,582
642,605
642,691
165,268
165,498
165,504
268,504
498,857
170,494
170,778
494,265
494,778
778,1805
173,429
429,372
429,504
857,954
448,210
448,751
751,210
245,691
245,869
245,1237
245,1423
582,605
582,687
210,468
691,869
691,1332
691,954
869,1332
1237,1260
1237,1401
1237,1423
1237,1345
1237,1828
1423,1228
1423,1412
1423,1485
1423,1594
1423,1828
255,275
954,725
984,1332
927,725
687,605
687,1238
520,576
520,605
576,605
605,1238
525,577
1805,1295
1805,1342
1805,1345
1332,1345
1332,1401
1332,1412
1332,1594
1401,1228
1401,1295
1401,1345
1401,1412
1201,1295
1201,1342
1201,1594
1201,1828
1201,1412
1295,1228
1295,1342
1295,1594
1295,1828
1295,1345
1295,1412
1342,1204
1594,1345
1594,1828
1828,1345
1828,1412
1228,1485
1228,1345
1228,1412
