basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4208535,ca.proc.d.2002-03-01.1977.0,2002-03-01,,,,stagedirection,,,,"The House proceeded to consideration of Bill C-49, an act to implement certain provisions of the budget tabled in Parliament on December 10, 2001 as reported (with amendments) from the committee.",,,,
4208536,ca.proc.d.2002-03-01.1977.1,2002-03-01,,,,,Government Orders,"Budget Implementation Act, 2001",,"There are 29 motions in amendment on the notice paper in connection with the report stage of Bill C-49.
Motions Nos. 1, 10, 17, 18 and 20 will not be selected by the Chair as they could have been proposed in committee.
Motion No. 21 will not be selected by the Chair as it requires a royal recommendation.
Motions Nos. 3 to 9, 11 to 16, 19 and 23 to 28 will not be selected by the Chair as they are similar or identical to motions defeated in committee.
The remaining motions have been examined and the Chair is satisfied that they meet the guidelines expressed in the note to Standing Order 76.1(5) regarding the selection of motions in amendment at the report stage.
The motions will be grouped for debate as follows:
Group No. 1: Motion No. 2.
Group No. 2: Motion No. 22.
The voting patterns for the motions within each group are available at the Table. The Chair will remind the House of each pattern at the time of voting.
I shall now propose Motion No. 2 in Group No. 1 to the House.",,,The Speaker,
4208537,ca.proc.d.2002-03-01.1977.2,2002-03-01,ab143dd3-e5b4-43fc-bc61-1279f1c395e9,287,"Mr. Vic Toews (Provencher, Canadian Alliance)",,Government Orders,"Budget Implementation Act, 2001",,"Mr. Speaker, I rise on a point of order. I understand your ruling is that Motions Nos. 10 and 17 are not to be heard because they could have been put at committee. Unfortunately I was not able to attend that committee because I was at the procedure and House affairs committee which is dealing with the matter related to the minister of defence.
As you well know, Mr. Speaker, the procedure and House affairs committee has been going virtually non-stop. I simply did not have an opportunity to introduce Motions Nos. 10 and 17 at the finance committee. Had I not been tied up in a motion that I think has precedence because of the extremely sensitive nature of that matter, I could have attended the finance committee and introduced these motions.
Therefore, I would ask you, Mr. Speaker, to reconsider your ruling in that respect and allow both Motions Nos. 10 and 17.",Canadian Alliance,Provencher,Vic Toews,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=ab143dd3-e5b4-43fc-bc61-1279f1c395e9&Language=E&Section=ALL
4208538,ca.proc.d.2002-03-01.1977.3,2002-03-01,9c14772f-bd8b-4bd3-9854-f7cdeefd507a,7,"Mr. Rob Anders (Calgary West, Canadian Alliance)",,Government Orders,"Budget Implementation Act, 2001",,"Mr. Speaker, I also rise on a point of order in this regard. I submitted three motions yesterday because I am not a regular member of that standing committee. As well, the official opposition had all its spots filled on that committee at the time so it would have been difficult for me to sidle up to the table. I was also busy at the time that committee was meeting. I am a regular member of the Standing Committee on National Defence and Veterans Affairs and, as a result, had other committee responsibilities simultaneously.
What also needs to be taken into consideration is that the committee jammed the bill through so quickly that even the witnesses who were supposed to be called had only a day's notice or less. As a result, many people refused to appear because it was simply unreasonable to ask senior executives of airlines and whatnot to appear with less than a day's notice. The government whip in this case was also very heavy-handed in terms of forcing the bill through.
I think all these things need to be taken into account, as well as the fact that the witnesses, including Mr. Clifford Mackay with the Air Transport Association of Canada, basically said that the tax was too complex and needed a grace period.
On top of that, when the vice-president of WestJet, Mark Hill, made his presentation before the finance committee he said that he was shocked that the committee had not done an analysis of the impact it would have on the airline industry. He said that it would not have been difficult to do the analysis but that it was all a question of time.
Perhaps the question is not on the timing but unfortunately in this place we have been led to believe that government business does not have precedence over opposition business in terms of the drafting of some of these types of amendments and motions. Nonetheless, that does not appear to be the case.
Mr. Speaker, I would ask you to take all those things into consideration because frankly these are central and key amendments to the consideration of the bill.",Canadian Alliance,Calgary West,Rob Anders,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=9c14772f-bd8b-4bd3-9854-f7cdeefd507a&Language=E&Section=ALL
4208539,ca.proc.d.2002-03-01.1977.4,2002-03-01,,,,,Government Orders,"Budget Implementation Act, 2001",,Perhaps the member for Calgary West could enlighten the Chair by indicating which amendments he is speaking about. He did not give me the numbers.,,,The Speaker,
4208540,ca.proc.d.2002-03-01.1977.5,2002-03-01,9c14772f-bd8b-4bd3-9854-f7cdeefd507a,7,Mr. Rob Anders,,Government Orders,"Budget Implementation Act, 2001",,"Mr. Speaker, the first motion I am referring to is Motion No. 18 which I believe deals with a 90 day grace period.
The next one is Motion No. 20 which has to do with a postponement of the legislation specifically because no impact studies were conducted with regard to the industry and consultation was not adequately rendered.
The third motion is Motion No. 1 which I believe has to do with the consultation issue.",Canadian Alliance,Calgary West,Rob Anders,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=9c14772f-bd8b-4bd3-9854-f7cdeefd507a&Language=E&Section=ALL
4208541,ca.proc.d.2002-03-01.1977.6,2002-03-01,,,,,Government Orders,"Budget Implementation Act, 2001",,"To clarify for the Chair, the two points of order that have been raised concern Motions Nos. 1, 10, 17, 18 and 20. Is that correct?",,,The Speaker,
4208542,ca.proc.d.2002-03-01.1977.7,2002-03-01,9c14772f-bd8b-4bd3-9854-f7cdeefd507a,7,Mr. Rob Anders,,Government Orders,"Budget Implementation Act, 2001",,"That is correct, Mr. Speaker.",Canadian Alliance,Calgary West,Rob Anders,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=9c14772f-bd8b-4bd3-9854-f7cdeefd507a&Language=E&Section=ALL
4208543,ca.proc.d.2002-03-01.1977.8,2002-03-01,106c623c-3606-40ae-a2f6-f4a619cf02f6,152,"Mr. Jason Kenney (Calgary Southeast, Canadian Alliance)",,Government Orders,"Budget Implementation Act, 2001",,"Mr. Speaker, I have a brief intervention on Motions Nos. 10 and 17.
I was present at the finance committee during its ostensible consideration of these motions. I would like to report to the Chair that while I understand that committee proceedings are the business of committee, I think it is important when the Chair considers this that he review the blues of the committee as well as published reports of the meeting where permanent members of the committee on the part of the government who had participated in witness testimony were removed from the committee by the whip's office and were not there to vote on these amendments and therefore were unable to exercise proper discretion.
Furthermore, the chair herself attempted to actually retroactively undo--",Canadian Alliance,Calgary Southeast,Jason Kenney,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=106c623c-3606-40ae-a2f6-f4a619cf02f6&Language=E&Section=ALL
4208544,ca.proc.d.2002-03-01.1977.9,2002-03-01,,,,,Government Orders,"Budget Implementation Act, 2001",,"I know the hon. member for Calgary Southeast is trying to be very helpful to the Chair. I have read some of the published reports of the goings on in the finance committee. Of course I have no opinion whatsoever on anything that transpired there. It is not the concern of the Chair directly. I know in raising this the hon. member was not trying to draw the Chair into this kind of disagreement, not at all I am sure.
I am also aware, and the hon. member has just reminded me, how he could have moved these amendments in the committee had he received them from his colleagues. Of course the whole purpose of committee proceedings is to allow for these things to be put in the committee and dealt with there. I stressed that in my earlier ruling on this subject with which I know the hon. member for Calgary Southeast is very familiar. I understand he reads it on a regular basis.
Having said that, I am also satisfied that in this case I note that the bill was referred to the committee on February 18, it got second reading that day, and was reported on February 27, so obviously the committee moved with some alacrity on the matter. I know that during that time members have been involved in other committees and, in the circumstances, I am prepared in this case to exercise some leniency and allow these five motions in because this bill was reported on Wednesday and has only come up today. Had there been a little more time, maybe I would have been a little less generous.
However, in the circumstances I will put the five motions that we have heard about in, Motions Nos. 1, 10, 17, 18 and 20. They will be lumped into Group No. 1.",,,The Speaker,
