basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4532199,ca.proc.d.2012-06-14.14559.1700,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, All those in favour of the motion will please say yea. ,Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532200,ca.proc.d.2012-06-14.14559.1701,2012-06-14,,,,intervention,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, Yea. ,,,Some hon. members,
4532201,ca.proc.d.2012-06-14.14559.1702,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, All those opposed will please say nay. ,Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532202,ca.proc.d.2012-06-14.14559.1703,2012-06-14,,,,intervention,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, Nay. ,,,Some hon. members,
4532203,ca.proc.d.2012-06-14.14559.1704,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",," In my opinion the nays have it. 
 And five or more members having risen: ",Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532204,ca.proc.d.2012-06-14.14559.1705,2012-06-14,,,,stagedirection,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,"(The House divided on Motion No. 647, which was negatived on the following division:)
Vote #393",,,,
4532205,ca.proc.d.2012-06-14.14559.1706,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,"I declare Motion No. 647 defeated. I declare Motion No. 648 also defeated.
The next question is on Motion No. 650. A vote on this motion also applies to Motions Nos. 651 and 652.
 Is it the pleasure of the House to adopt the motion? ",Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532206,ca.proc.d.2012-06-14.14559.1707,2012-06-14,,,,intervention,Government Orders,"Jobs, Growth and Long-term Prosperity Act",," Agreed. 
 No. ",,,Some hon. members,
4532207,ca.proc.d.2012-06-14.14559.1708,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, All those in favour of the motion will please say yea. ,Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532208,ca.proc.d.2012-06-14.14559.1709,2012-06-14,,,,intervention,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, Yea. ,,,Some hon. members,
4532209,ca.proc.d.2012-06-14.14559.1710,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, All those opposed will please say nay. ,Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532210,ca.proc.d.2012-06-14.14559.1711,2012-06-14,,,,intervention,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, Nay. ,,,Some hon. members,
4532211,ca.proc.d.2012-06-14.14559.1712,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",," In my opinion the nays have it. 
 And five or more members having risen: ",Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532212,ca.proc.d.2012-06-14.14559.1713,2012-06-14,,,,stagedirection,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,"The House divided on Motion No. 650, which was negatived on the following division:
Vote #394",,,,
4532213,ca.proc.d.2012-06-14.14559.1714,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,"I declare Motion No. 650 defeated. I therefore declare Motions Nos. 651 and 652 defeated.
The next question is on Motion No. 653. A vote on this motion also applies to Motions Nos. 654 and 655. A negative vote on Motion No. 653 requires the question to be put on Motion No. 656.",Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532214,ca.proc.d.2012-06-14.14559.1715,2012-06-14,,,,stagedirection,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,"(The House divided on Motion No. 653, which was negatived on the following division:)
Vote #395",,,,
4532215,ca.proc.d.2012-06-14.14559.1716,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,"I declare Motion No. 653 defeated. I also declare Motions Nos. 654 and 655 defeated.
The question now is on Motion No. 656.
 Is it the pleasure of the House to adopt the motion? ",Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532216,ca.proc.d.2012-06-14.14559.1717,2012-06-14,,,,intervention,Government Orders,"Jobs, Growth and Long-term Prosperity Act",," Agreed. 
 No. ",,,Some hon. members,
4532217,ca.proc.d.2012-06-14.14559.1718,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, All those in favour of the motion will please say yea. ,Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532218,ca.proc.d.2012-06-14.14559.1719,2012-06-14,,,,intervention,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, Yea. ,,,Some hon. members,
4532219,ca.proc.d.2012-06-14.14559.1720,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, All those opposed will please say nay. ,Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532220,ca.proc.d.2012-06-14.14559.1721,2012-06-14,,,,intervention,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, Nay. ,,,Some hon. members,
4532221,ca.proc.d.2012-06-14.14559.1722,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",," In my opinion the nays have it. 
 And five or more members having risen: ",Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532222,ca.proc.d.2012-06-14.14559.1723,2012-06-14,,,,stagedirection,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,"(The House divided on Motion No. 656, which was negatived on the following division:)
Vote #396",,,,
4532223,ca.proc.d.2012-06-14.14559.1724,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,"I declare Motion No. 656 defeated.
The next question is on Motion No. 657. A vote on this motion also applies to Motion No. 658. A negative vote on Motion No. 657 requires the question to be put on Motion No. 659.",Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532224,ca.proc.d.2012-06-14.14559.1725,2012-06-14,,,,stagedirection,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,"(The House divided on Motion No. 657, which was negatived on the following division:)
Vote #397",,,,
4532225,ca.proc.d.2012-06-14.14559.1726,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,"I declare Motion No. 657 defeated. I therefore declare Motion No. 658 is also defeated.
The next question is on Motion No. 659. Is it the pleasure of the House to adopt the motion? ",Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532226,ca.proc.d.2012-06-14.14559.1727,2012-06-14,,,,intervention,Government Orders,"Jobs, Growth and Long-term Prosperity Act",," Agreed. 
 No. ",,,Some hon. members,
4532227,ca.proc.d.2012-06-14.14559.1728,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, All those in favour of the motion will please say yea. ,Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532228,ca.proc.d.2012-06-14.14559.1729,2012-06-14,,,,intervention,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, Yea. ,,,Some hon. members,
4532229,ca.proc.d.2012-06-14.14559.1730,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, All those opposed will please say nay. ,Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532230,ca.proc.d.2012-06-14.14559.1731,2012-06-14,,,,intervention,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, Nay. ,,,Some hon. members,
4532231,ca.proc.d.2012-06-14.14559.1732,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",," In my opinion the nays have it. 
 And five or more members having risen: ",Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532232,ca.proc.d.2012-06-14.14559.1733,2012-06-14,,,,stagedirection,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,"(The House divided on Motion No. 659 which was negatived on the following division:)
Vote #398",,,,
4532233,ca.proc.d.2012-06-14.14559.1734,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,"I declare Motion No. 659 defeated.
The next question is on Motion No. 660. A vote on this motion also applies to Motion No. 661.",Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532234,ca.proc.d.2012-06-14.14559.1735,2012-06-14,,,,stagedirection,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,"The House divided on Motion No. 660, which was negatived on the following division:
Vote #399",,,,
4532235,ca.proc.d.2012-06-14.14559.1736,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,"I declare Motion No. 660 defeated. I therefore declare Motion No. 661 defeated.
The next question is on Motion No. 662. A vote on this motion also applies to Motions Nos. 663 and 664. A negative vote on Motion No. 662 requires that the question be put on Motion No. 665.",Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532236,ca.proc.d.2012-06-14.14559.1737,2012-06-14,,,,stagedirection,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,"(The House divided on Motion No. 662, which was negatived on the following division:)
Vote #400",,,,
4532237,ca.proc.d.2012-06-14.14559.1738,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,"I declare Motion 662 defeated. I therefore declare Motions Nos. 663 and 664 defeated.
The next question is on Motion No. 665.
 Is it the pleasure of the House to adopt the motion? ",Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532238,ca.proc.d.2012-06-14.14559.1739,2012-06-14,,,,intervention,Government Orders,"Jobs, Growth and Long-term Prosperity Act",," Agreed. 
 No. ",,,Some hon. members,
4532239,ca.proc.d.2012-06-14.14559.1740,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, All those in favour of the motion will please say yea. ,Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532240,ca.proc.d.2012-06-14.14559.1741,2012-06-14,,,,intervention,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, Yea. ,,,Some hon. members,
4532241,ca.proc.d.2012-06-14.14559.1742,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, All those opposed will please say nay. ,Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532242,ca.proc.d.2012-06-14.14559.1743,2012-06-14,,,,intervention,Government Orders,"Jobs, Growth and Long-term Prosperity Act",, Nay. ,,,Some hon. members,
4532243,ca.proc.d.2012-06-14.14559.1744,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",," In my opinion the nays have it. 
 And five or more members having risen: ",Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532244,ca.proc.d.2012-06-14.14559.1745,2012-06-14,,,,stagedirection,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,"(The House divided on Motion No. 665, which was negatived on the following division:)
Vote #401",,,,
4532245,ca.proc.d.2012-06-14.14559.1746,2012-06-14,6519cfba-0080-419d-baa9-8ae6e56d032f,256,The Speaker,,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,I declare Motion No. 665 defeated.,Conservative,Regina--Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=6519cfba-0080-419d-baa9-8ae6e56d032f&Language=E&Section=ALL
4532246,ca.proc.d.2012-06-14.14559.1747,2012-06-14,43d98498-4000-43e4-b468-5f79352823ad,451,The Deputy Speaker,Interjection,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,"The question is on Motion No. 666. The vote on this motion also applies to Motions Nos. 667 and 668. 
A negative vote on Motion No. 666 requires the question to be put on Motion No. 669.",New Democratic Party,Victoria,Denise Savoie,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=43d98498-4000-43e4-b468-5f79352823ad&Language=E&Section=ALL
4532247,ca.proc.d.2012-06-14.14559.1748,2012-06-14,,,,stagedirection,Government Orders,"Jobs, Growth and Long-term Prosperity Act",,"(The House divided on Motion No. 666, which was negatived on the following division:)
Vote #402",,,,
