basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4229817,ca.proc.d.2002-11-06.1694.0,2002-11-06,,,,,,,,"As is our practice on Wednesday we will now sign O Canada, and we will be led by the hon. member for Parkdale—High Park.
[Editor's Note: Members sang the national anthem]",,,The Speaker,
4229818,ca.proc.d.2002-11-06.1694.1,2002-11-06,71f50573-518d-4cc5-993e-5243b33a1c1a,211,"Ms. Anita Neville (Winnipeg South Centre, Lib.)",,Statements By Members,Human Rights Watch,,"Mr. Speaker, according to a new report issued by the organization Human Rights Watch, since January 2001, 52 Palestinian suicide bombings have killed more than 250 Israeli civilians and injured some 2,000 more.
According to the analysis of Human Rights Watch, these attacks are of such a size and nature that they clearly fall under the category of crimes against humanity, and that those who carry out suicide bombings are not martyrs but war criminals, as are the people who plan such attacks.
International law states that those responsible be held to account. The failure of the political leadership of the Palestinian Authority to exercise authority to prevent or control groups, such as Hamas, the Islamic Jihad and the popular front of the liberation of Palestine, clearly does not meet the standards of international law.
I call upon our government to condemn the armed groups and the complicit political leadership responsible, and demand that they halt the suicide attacks on civilians immediately.",Liberal,Winnipeg South Centre,Anita Neville,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=71f50573-518d-4cc5-993e-5243b33a1c1a&Language=E&Section=ALL
4229819,ca.proc.d.2002-11-06.1694.2,2002-11-06,b7a407dd-002c-4dfa-ac37-c692767ac524,4028,"Mr. John Cummins (Delta—South Richmond, Canadian Alliance)",,Statements By Members,Coast Guard,,"Mr. Speaker, internal Coast Guard documents reveal that the Coast Guard station at Vancouver airport was out of service on May 22 of this year. All its search and rescue craft were down. Lives were at risk.
The base provides rescue coverage for crashes on the tidal flats surrounding the airport. Its job is to coordinate the rescue of hundreds of passengers who might be involved in a crash, to take life rafts to the crash site and to pick up survivors.
On May 22 the Coast Guard advised the Rescue Co-ordination Centre and the Vancouver airport that the base was out of service, its vessels inoperable and advised them to find commercial helicopters to ferry life rafts to the site of any possible crash.
Since October 4 there has only been one hovercraft in B.C. That means that the airport is now regularly left unprotected as the remaining hovercraft is out of service for routine inspection and maintenance.
The Vancouver Airport is left with third world emergency rescue coverage. Shame.",Canadian Alliance,Delta--South Richmond,John M. Cummins,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=b7a407dd-002c-4dfa-ac37-c692767ac524&Language=E&Section=ALL
4229820,ca.proc.d.2002-11-06.1694.3,2002-11-06,0238d61e-9400-45a7-a214-ce519a06b907,3415,"Mrs. Rose-Marie Ur (Lambton—Kent—Middlesex, Lib.)",,Statements By Members,Remembrance Day,,"Mr. Speaker, November 11 is a day that gives Canadians time to pause and reflect on Canada's history, as well as what Canada is and stands for in the world today. Above all, it is an occasion to remember the valiant men and women who sacrificed their lives in the interests of Canada.
On Remembrance Day we remember the more than 1.5 million Canadians who fought for Canada in World War I, World War II and the Korean War. We recognize the more than 100,000 soldiers who died and the enormous sacrifices made by their families who were split apart by war and tragedy.
We remember the men and women who have sacrificed their lives in the service of peace and who continue to defend our country and our interests today. At the same time, we recognize the reasons they fought, namely the values, freedoms and way of life that we cherish and are privileged to enjoy today. These include the liberties that we take for granted and our ability to actively participate in political, social and cultural life in Canada.
That is why we stop on the 11th hour of the 11th day of the 11th month to remember the cost of freedom and to honour those who have paid the price for it.",Liberal,Lambton--Kent--Middlesex,Rose-Marie Ur,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0238d61e-9400-45a7-a214-ce519a06b907&Language=E&Section=ALL
4229821,ca.proc.d.2002-11-06.1694.4,2002-11-06,7be31897-2aa9-4cff-8581-8f6eb0edff6e,288,"Mr. Alan Tonks (York South—Weston, Lib.)",,Statements By Members,San Giuliano di Puglia,,"Mr. Speaker, there are members of the House who represent towns and villages from across this land who can testify to the special closeness that exists between families and neighbours, especially in rural areas.
It is therefore shockingly clear to the House what the devastating impact would be if those events that occurred a short time ago in San Giuliano di Puglia, Campobasso region of Italy, had occurred in any part of our country.
Today, as a result of the devastating earthquake that rocked the region, there is not one family in the town that has escaped the tragedy of losing a beloved child.
In addition, as winter conditions threaten, nearly 3,100 people are living in tents and local authorities are desperately and courageously trying to deal with emergency conditions.
Throughout this country's history, Canadians have benefited from that special quality of love of family and community that is characteristic of Italians and what they have contributed to Canada. In this spirit of extended family, I would like to express our profound sympathy for the grieving families of San Giuliano di Puglia.",Liberal,York South--Weston,Alan Tonks,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=7be31897-2aa9-4cff-8581-8f6eb0edff6e&Language=E&Section=ALL
4229822,ca.proc.d.2002-11-06.1694.5,2002-11-06,5377d0bc-129c-45e2-b3d2-c3669b48737b,4655,"Mr. Bob Wood (Nipissing, Lib.)",,Statements By Members,Veterans,,"Mr. Speaker, this is the week Canadians proudly wear the scarlet poppy on our lapels. We do so as a reminder of how much we owe our veterans who served this nation in two world wars, in Korea, the Gulf war and in countless peacekeeping operations around the world.
We were reminded of the true nature of their sacrifice not so many months ago with the tragic loss of four of our own in Afghanistan.
Over the years, our veterans have simply asked that we recognize and remember their service. It seems so very little to ask in return for all they have done for our nation. We, who have inherited that future, remain forever grateful to the veterans of Canada.
It remains incumbent upon us to demonstrate that gratitude by keeping their stories alive, not just for this generation but for generations to come. The stories of our nation give our children the glue of our history and our common values that bind our country together.
Let us keep those stories alive, lest our children forget.",Liberal,Nipissing,Bob Wood,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=5377d0bc-129c-45e2-b3d2-c3669b48737b&Language=E&Section=ALL
4229823,ca.proc.d.2002-11-06.1694.6,2002-11-06,e22e31cd-045c-4450-bc5d-3e17dc6aa05d,142,"Mr. Rahim Jaffer (Edmonton—Strathcona, Canadian Alliance)",,Statements By Members,Ramadan,,"Mr. Speaker, it is my honour as the only member of the House of the Islamic faith to announce that today, November 6, is the first day of the holy month of Ramadan.
Ramadan is the ninth month of the Muslim calendar. The month of Ramadan celebrates when the Holy Quran “was sent down from heaven”.
The fast of Ramadan lasts the entire month. It is a time when Muslims concentrate on their faith and spend time with family and community.
During Ramadan strict restraints are placed on the daily lives of Muslims. They are not allowed to eat or drink during the daylight hours. At sundown the fast is broken with prayer and a meal called the
iftar.
After the meal Muslims spend time visiting with family and friends. The fast is resumed the next morning.
Ramadan is a time of focus on family and faith. I hope all Canadians take time to experience and learn more about the Islamic faith.
On behalf of the official opposition, I would like to wish all my Muslim brothers and sisters a very joyous celebration of Ramadan.",Canadian Alliance,Edmonton Strathcona,Rahim Jaffer,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=e22e31cd-045c-4450-bc5d-3e17dc6aa05d&Language=E&Section=ALL
4229824,ca.proc.d.2002-11-06.1694.7,2002-11-06,c18998a2-e425-42bc-a39f-0e59d383c569,241,"Mrs. Karen Redman (Kitchener Centre, Lib.)",,Statements By Members,Four Nations Cup,,"Mr. Speaker, the Maple Leaf will be flying proudly in my constituency as Kitchener hosts the Four Nations Cup. Tonight our nation's finest women hockey players will take to the ice as Canada and the United States face off for the first time since Canada's gold medal win in Salt Lake City.
The city of Kitchener is proud to host the Four Nations Cup that will showcase four of the world's best women's hockey countries: Canada, Finland, Sweden and the U.S.A. Women's hockey has become enormously popular in Canada. The Four Nations Cup will certainly help continue the growth of women's hockey at all levels and ultimately encourage more women to play the game.
Canada is the reigning cup champion after claiming victory at last year's Three Nations Cup in Finland. Canada has won five of the six Nation Cup championships, dating back to the inaugural event in 1996.
Kitchener is looking forward to five days of fantastic hockey. I invite everyone to take advantage of this exciting opportunity to cheer on our nation's favourite team. Go Team Canada.",Liberal,Kitchener Centre,Karen Redman,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=c18998a2-e425-42bc-a39f-0e59d383c569&Language=E&Section=ALL
4229825,ca.proc.d.2002-11-06.1694.8,2002-11-06,d2983554-c9a0-4e21-9065-aa9105f9510a,53,"Mr. Serge Cardin (Sherbrooke, BQ)",,Statements By Members,Monsignor Jean-Marie Fortier,,"Mr. Speaker, as we speak, the funeral of the former Archbishop of Sherbrooke, Monsignor Jean-Marie Fortier, is taking place in Sherbrooke.
I would like to pay tribute to this great man of the Church, who was totally committed to our community for 28 years. I remember him as a man easy to like and easy to approach, with the best interests of not just his diocese but the entire region at heart. He was a man of faith who retained his simplicity despite the onerous tasks entrusted to him, particularly as the president of the Assemblée des évêques du Québec.
I remember him too as a man of generosity, always ready to listen to anyone, from the humblest to the greatest, wealthy or poor. I will also remember Mgr Fortier presiding over the funeral mass for former Quebec Premier René Lévesque.
On behalf of my colleagues in the Bloc Quebecois, my most sincere condolences to his grieving family. I thank you again, Monsignor, on behalf of the entire population of Sherbrooke.",Bloc Québécois,Sherbrooke,Serge Cardin,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d2983554-c9a0-4e21-9065-aa9105f9510a&Language=E&Section=ALL
4229826,ca.proc.d.2002-11-06.1694.9,2002-11-06,8c3e4bb0-ac84-4071-bc91-3b47268a13eb,260,"Ms. Judy Sgro (York West, Lib.)",,Statements By Members,2002 Synergy Awards for Innovation,,"Mr. Speaker, I am pleased to rise today to congratulate two winners of the 2002 Synergy Awards for Innovation announced by the Natural Sciences and Engineering Research Council of Canada.
Dr. Vincent Tao and Dr. Allan Tarswell were recognized for their important work on three dimensional imaging of laser radar. This tool measures atmospheric pollution and has the potential to revolutionize all forms of urban mapping.
In a partnership between York University and Optech Incorporated, these outstanding scientists showed that collaboration is an important investment in research and development.
Successful partnerships between universities and industry are good for students and good for Canada.
York University in my riding is one of Canada's leader research institutes.
This award demonstrates the importance of innovation in the knowledge-based economy.
I ask members to please join me in congratulating this winning Synergy partnership which draws together those who produce new knowledge and those who know how to apply it.",Liberal,York West,Judy Sgro,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=8c3e4bb0-ac84-4071-bc91-3b47268a13eb&Language=E&Section=ALL
